job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
鸿蒙开发工程师,深圳市法本信息技术股份有限公司,1.2-1.5万,成都·锦江·春熙路,成都,大专,3-5年,7月26日,zhilian_direct,岗位职责 1、负责基于HarmonyOS的原生应用、元服务、桌面卡片功能开发、迭代与维护； 2、参与需求评审、技术方案设计，完成模块编码、自测、Bug修复； 3、负责多设备适配、兼容性调试、性能优化（启动速度、内存、卡顿、功耗）； 4、跟进鸿蒙最新技术特性，落地分布式、跨设备协同等创新能力； 5、规范代码开发，沉淀通用组件与技术文档，保障版本稳定交付。 任职要求 1、3-5年鸿蒙原生开发经验，熟练使用 ArkTS、ArkUI； 2、熟悉DevEco Studio、鸿蒙应用生命周期、状态管理、网络、本地存储、权限体系； 3、熟悉元服务、桌面卡片开发，有实际上线项目经验优先； 4、具备问题排查、机型适配、性能调优能力，代码规范； 5、学习能力强，能跟进鸿蒙新版本特性，独立完成功能开发。 优先项 有APP鸿蒙迁移、IoT设备/车载/智慧屏鸿蒙开发经验者优先。 工作地点 成都PICC人保大厦锦江区人保大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Kotlin,JavaScript,Java",http://www.zhaopin.com/jobdetail/CC385622410J40791253006.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
安卓鸿蒙开发工程师（银行，半年周期）,四川省信达恒创科技有限责任公司,1.4-1.7万,苏州·工业园区,苏州,本科,5-10年,7月26日,zhilian_direct,职位描述 MPAAS Java ArkTS Kotlin 银行 要求： 1、统招本科 2、现场面试，会有笔试 工作职责： 手机银行、对公手机银行、智慧食堂等安卓端和鸿蒙端开发和运维 参与需求评审、技术方案设计，协同前后端团队完成版本迭代与生产环境支持 技能要求： 1.安卓开发8年及以上开发经验，5年及以上金融应用开发经验。 2.熟练使用mpaas框架，有多年mpaas框架开发经验。 3熟练使用java语言和arkts语言，会安卓和鸿蒙完整应用的开发。 工作地点 苏州工业园区2.5产业园1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"MPAAS,Java,ArkTS,Kotlin",http://www.zhaopin.com/jobdetail/CCL1486688620J40833127916.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
鸿蒙开发工程师,苏州人瑞普惠人力资源服务有限公司,1.3-1.6万,杭州·余杭·余杭街道,杭州,大专,3-5年,7月26日,zhilian_direct,职位描述 C C++ 鸿蒙开发 前端开发 通信/网络设备 工作职责: 1、依据产品需求完成高质量的跨终端web/App前端开发和维护; 2、对具体的产品进行性能优化，实现极致的页面加载、执行和渲染时间; 3、在理解前端开发流程的基础上，结合前端实际建立和优化提升工作效率的工具; 4、优化前端技术体系设计，包括开发规范，研发流程，工程设计以及基础资产等； 5、解决产品开发过程中的疑难问题，性能优化问题，持续通过数据埋点，监控来优化产品体验； 6、在理解产品业务的基础上，提升产品的用户体验，技术驱动业务的发展; 7、关注前端前沿技术研究，通过新技术服务团队和业务。 任职要求: 1、3年以上资深前端开发经验； 2、前端基础扎实; 3、具备跨终端的前端开发能力，有实际的跨终端经验，有ios/安卓开发部署经验； 4、对前端工程化与模块化开发有一定了解，并有实践经验(如Gulp/Webpack/NPM等); 5、具备良好的团队协作精神，能利用自身技术能力提升团队整体研发效率，提高团队影响力; 6、对前端技术有持续的热情，个性乐观开朗，逻辑性强，善于和各种背景的人合作; 工作地点 杭州余杭区科大讯飞AI学习机专卖店(余杭万达店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"C,C++,鸿蒙开发,前端开发",http://www.zhaopin.com/jobdetail/CC427775130J40917648715.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
鸿蒙开发工程师,深圳市法本信息技术股份有限公司,1.6-2.4万,深圳·南山·西丽,深圳,大专,经验不限,7月26日,zhilian_direct,职位描述 Kotlin KMP ArkTS 统招大专及以上学历，学信网学历，毕业满2年，有鸿蒙开发经验，有Android或flutter或RN或Kotlin或KMP或electron或C++实际项目经验 工作地点 南山区深圳市法本信息技术股份有限公司3楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Kotlin,KMP,ArkTS",http://www.zhaopin.com/jobdetail/CC385622410J40773713506.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
安卓鸿蒙开发工程师,软通动力信息技术(集团)股份有限公司,1.3-2万,杭州·滨江·长河,杭州,本科,5-10年,7月26日,zhilian_direct,职位描述 Kotlin ArkTS C++ 安卓鸿蒙 负责现有 Android 业务功能向 HarmonyOS 迁移，基于 Kotlin Multiplatform（KMP）进行代码改造与适配。 理解 Android 侧已有业务逻辑，确保迁移后 Android 端功能可正常运行，HarmonyOS 端代码可正常构建、运行和验证。 负责拆分和界定 KMP 共享代码与平台专属能力边界，包括但不限于 UI、网络、存储、权限、系统 API、生命周期、埋点等平台差异。 根据业务场景设计合理的 expect/actual、接口抽象、平台适配层，避免简单复制代码或过度抽象。 配合完成迁移过程中的问题排查、编译修复、运行验证和代码质量优化。 熟练使用 AI Coding 工具提升开发效率，包括代码理解、迁移辅助、问题定位、测试补全和重构建议等。 任职要求 熟悉 Android 开发，具备 Kotlin 开发经验，了解常见 Android 架构、组件、生命周期和调试方式。 有 Kotlin Multiplatform（KMP）实际项目经验，理解 shared/commonMain 与平台侧代码的职责划分。 熟悉 HarmonyOS 开发或具备相关迁移经验，能够独立完成 HarmonyOS 侧代码适配、构建和运行验证。 能够准确判断哪些逻辑适合沉淀到 KMP 共享层，哪些能力应保留在 Android / HarmonyOS 平台层。 具备较强的问题排查能力，能处理编译错误、依赖冲突、平台 API 差异、运行时异常等迁移常见问题。 熟练使用 Cursor、Claude Code、Codex、GitHub Copilot 等 AI Coding 工具，并能将 AI 结果转化为可维护、可验证的工程代码。 具备良好的代码规范意识和协作能力，能够按计划交付迁移任务。 加分项 有 Android 到 HarmonyOS 迁移项目经验。 有跨平台、KMP 落地经验。 熟悉 ArkTS、ArkUI、鸿蒙工程结构或相关构建链路。 备注： 5年以上开发经验，最好有Android+鸿蒙开发经验，基础要求有Kotlin2年以上经验或者ArkUI2年以上经验，有KMP、Compose经验加分； 技术栈:鸿蒙、安卓、KMP； linuxc+++大型项目开发调试经验，鸿蒙+大厂经验优先； 工作地点 杭州滨江区慧港科技园3B 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Kotlin,ArkTS,C++,安卓鸿蒙",http://www.zhaopin.com/jobdetail/CC000544460J40829507816.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
鸿蒙开发工程师,安徽屹通信息科技发展有限公司,1-1.3万,长春·南关·临河,长春,本科,3-5年,7月26日,zhilian_direct,职位描述 ArkTS 鸿蒙应用开发 ARKUI框架开发 跨设备协同开发 银行 工作职责 1. 负责基于鸿蒙操作系统的应用开发，包括需求分析、架构设计与代码实现。 2. 深入理解鸿蒙系统特性，熟练运用ArkUI框架完成UI界面开发与交互逻辑设计。 3. 参与跨设备协同功能的技术方案制定，解决多终端适配与数据同步问题。 4. 负责代码质量管控与性能优化，保障应用在鸿蒙生态下的稳定性与流畅性。 任职要求 1. 统招本科学历，具备扎实的编程基础。 2. 熟悉鸿蒙操作系统原理，掌握ArkTS/ArkUI开发框架，有鸿蒙应用开发经验优先。 3. 具备良好的面向对象编程思想，熟悉常用设计模式与数据结构。 4. 拥有较强的问题分析与解决能力，能独立完成复杂功能模块的开发与调试。 5.接受出差 工作地点 建业花园(深圳街)吉林省长春市南关区深圳街12号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ArkTS,鸿蒙应用开发,ARKUI框架开发,跨设备协同开发",http://www.zhaopin.com/jobdetail/CC640126480J40869175914.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
鸿蒙开发工程师,深圳市法本信息技术股份有限公司,1-2万,西安·雁塔·丈八沟,西安,大专,3-5年,7月26日,zhilian_direct,职位描述 ArkTS 鸿蒙 计算机软件 软件/IT服务 职位描述 1、知识：熟悉软件研发基础知识，良好的计算机、软件工程领域知识基础。 2、技能：至少掌握一门编程语言，熟练使用主流IDE等开发工具，熟悉软件开发流程，能够结合需求场景分析独立完成开发任务。 3、能力：3年以上编程工作经验，0.5年以上鸿蒙开发经验，良好的学习能力，分析解决问题能力，具有良好的责任心和团队合作精神。 4、要持有“HarmonyOS应用开发者基础或高级认证”证书。 工作地点 雁塔区西安中诺通讯有限公司1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ArkTS,鸿蒙",http://www.zhaopin.com/jobdetail/CC385622410J40642456606.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
鸿蒙开发工程师,软通动力信息技术(集团)股份有限公司,1-1.5万,武汉·蔡甸·沌口,武汉,大专,3-5年,7月26日,zhilian_direct,职位描述 ArkTS 物联网 1. 基于鸿蒙OS系统进行原生应用的需求分析、架构设计与代码开发，确保应用的高性能与稳定性。 2. 负责鸿蒙分布式能力（如分布式数据管理、跨设备流转）的技术方案落地，支撑多终端协同场景。 3. 参与鸿蒙应用的性能优化与问题排查，持续提升用户体验。 4. 跟踪鸿蒙系统的技术更新，将新特性融入现有产品，推动技术栈的迭代升级。 任职要求： 1. 专科及以上学历，计算机相关专业，具备扎实的Java/Kotlin编程基础。 2. 熟悉鸿蒙应用开发框架（ArkTS/ArkUI），掌握鸿蒙系统的核心API与分布式技术原理。 3. 有鸿蒙原生应用开发经验，能独立完成从需求到上线的全流程开发工作。 4. 具备良好的问题分析能力与团队协作精神，能快速定位并解决技术难题。 工作地点 武汉蔡甸区南太子湖创新谷5A 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,ArkTS,http://www.zhaopin.com/jobdetail/CC000544460J40829665716.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
鸿蒙开发工程师,中科软科技股份有限公司,9000-12000元,咸阳·秦都区·钓台街道,咸阳,本科,3-5年,7月26日,zhilian_direct,职位描述 ArkTS 计算机软件 1.有鸿蒙开发经验，完整参与过一个以上鸿蒙应用的开发工作； 2.理解鸿蒙应用程序框架，掌握DevEco Studio、ArkTS、ArkUI与处理网络数据获取等鸿蒙应用开发的关键概念，具备基础的应用开发能力。 工作地点 咸阳市-秦都区-西咸新区沣西新城同文路与康定路交叉路口东南角 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,ArkTS,http://www.zhaopin.com/jobdetail/CC120160390J40780802516.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
鸿蒙开发工程师,深圳市法本信息技术股份有限公司,1-2万,广州·天河·天园,广州,大专,3-5年,7月26日,zhilian_direct,职位描述 ArkTS 鸿蒙 计算机软件 软件/IT服务 职位描述 1、知识：熟悉软件研发基础知识，良好的计算机、软件工程领域知识基础。 2、技能：至少掌握一门编程语言，熟练使用主流IDE等开发工具，熟悉软件开发流程，能够结合需求场景分析独立完成开发任务。 3、能力：3年以上编程工作经验，0.5年以上鸿蒙开发经验，良好的学习能力，分析解决问题能力，具有良好的责任心和团队合作精神。 4、要持有“HarmonyOS应用开发者基础或高级认证”证书。 工作地点 广州天河区羊城创意产业园南网 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ArkTS,鸿蒙",http://www.zhaopin.com/jobdetail/CC385622410J40642457006.htm?refcode=4019&srccode=401903&preactionid=39fa9426-d2bc-461b-a4af-d5413bcd85eb
